scenario,cpu_speed,cpu_cores,cpu_threads,gpu_vram,ram_size,storage_space,psu_power,total_price,performance_score
Content Creation,3.4,8,16,8,32,1000,750,2277,10800.0
Workstation,3.8,8,16,8,64,2000,750,2576,25150.0
Gaming,3.6,6,12,6,16,500,500,1738,1314.0
Gaming,3.0,8,16,6,16,250,1200,2130,825.0
General Use,3.6,4,8,11,32,1000,600,1922,5284.8
Home Office,3.7,6,12,8,32,2000,700,2885,10357.0
Workstation,3.7,8,16,12,32,2000,750,3016,24510.0
Gaming,4.2,8,16,10,32,1000,750,2706,2503.0
Gaming,3.6,4,8,4,32,2000,750,1903,4334.0
Home Office,3.8,4,4,12,64,1000,850,2193,5678.0
Workstation,3.6,4,8,16,32,1000,650,2025,13950.0
Gaming,3.4,6,12,8,32,1000,1200,2388,2431.0
General Use,3.8,6,12,8,32,500,550,1592,2786.4
General Use,3.1,4,4,12,8,1000,750,1221,5088.8
Content Creation,3.6,4,8,10,16,1000,700,1968,10448.0
Home Office,3.8,6,12,12,32,1000,650,1772,5358.0
Workstation,3.3,6,12,8,64,1000,750,2033,15120.0
General Use,3.6,6,12,3,16,2000,500,2127,10156.8
General Use,3.6,8,16,8,32,2000,800,2447,10284.8
Home Office,3.9,6,12,8,32,1000,600,1877,5359.0
General Use,3.5,4,4,8,64,500,650,1982,3040.0
Content Creation,3.6,8,16,8,16,1000,550,1491,10480.0
Gaming,3.7,4,8,8,64,250,450,2004,1075.5
Workstation,3.1,4,4,12,64,2000,750,1389,25090.0
Gaming,3.6,6,12,16,16,500,750,1882,1514.0
General Use,3.6,4,8,6,128,1000,800,2634,6052.8
Workstation,3.7,4,8,12,32,500,1000,2396,10700.0
Workstation,3.4,8,16,6,32,2000,850,2870,25010.0
Content Creation,3.8,8,16,6,16,1000,850,1611,10464.0
Content Creation,3.1,4,4,8,16,2000,600,1352,20432.0
Gaming,4.7,12,24,8,32,2000,650,2330,4510.5
Content Creation,3.5,4,4,6,32,500,750,1916,5736.0
General Use,3.7,6,12,8,32,500,1000,2277,2785.6
Home Office,4.5,16,32,8,32,1000,500,2872,5365.0
Home Office,3.6,6,12,10,32,2000,600,1908,10356.0
Workstation,3.1,4,4,8,64,2000,850,2334,25590.0
General Use,3.2,4,8,8,32,500,550,1502,2781.6
Home Office,4.7,6,12,11,8,1000,900,1410,5127.0
Home Office,3.4,8,16,24,16,2000,650,1835,10194.0
Home Office,4.2,8,16,10,16,250,850,2682,1452.0
Content Creation,3.8,8,16,8,32,1000,650,2417,10800.0
General Use,3.6,2,4,16,64,2000,850,2433,10540.8
Gaming,3.5,4,4,8,32,1000,850,1665,2412.5
Content Creation,3.4,8,16,12,16,2000,550,2894,20512.0
General Use,3.7,4,8,8,32,2000,650,1877,10285.6
Home Office,3.4,8,16,8,192,2000,700,2425,11954.0
Content Creation,3.3,6,12,11,32,2000,450,1862,20800.0
General Use,3.4,8,16,8,32,500,1000,2308,2783.2
Home Office,3.4,8,16,8,32,2000,1000,1779,10354.0
Gaming,3.4,8,16,16,8,2000,650,2156,4491.0
Home Office,3.4,8,16,10,16,1000,1050,2658,5194.0
General Use,3.8,4,4,6,16,2000,600,2282,10158.4
General Use,3.5,6,12,11,64,2000,1000,1729,10540.0
General Use,4.7,12,24,8,32,500,1600,2471,2793.6
Content Creation,3.6,4,8,12,16,1000,850,1861,10464.0
Workstation,3.4,8,16,8,16,1000,850,1629,14690.0
Content Creation,3.6,2,4,8,16,1000,750,1770,10408.0
Gaming,3.5,4,8,8,32,1000,850,1872,2412.5
General Use,3.7,8,16,16,16,250,750,1892,1407.6
Gaming,3.0,8,16,8,8,1000,550,1234,2325.0
Home Office,3.7,6,12,8,32,1000,1000,1792,5357.0
Home Office,3.7,6,12,12,64,1000,750,2530,5677.0
Home Office,4.5,8,16,16,16,1000,500,1528,5205.0
Gaming,3.4,8,16,4,16,2000,750,1591,4291.0
Gaming,3.4,8,16,12,64,250,1200,1688,1191.0
Home Office,3.8,8,16,24,64,1000,500,2129,5678.0
General Use,3.2,8,16,8,16,250,500,2544,1403.6
Content Creation,3.5,4,4,8,16,1000,750,2570,10432.0
Workstation,3.2,4,8,6,16,1000,550,2087,13130.0
Home Office,3.4,6,12,8,8,1000,600,2636,5114.0
Content Creation,3.6,4,8,6,128,1000,750,3104,12656.0
Home Office,3.2,8,16,8,32,2000,500,1841,10352.0
General Use,3.5,4,4,10,8,250,1050,1845,1342.0
Home Office,3.4,8,16,8,16,500,850,1787,2694.0
Content Creation,3.1,4,4,24,16,1000,550,1385,10560.0
Gaming,3.2,4,8,8,16,2000,600,2150,4328.0
Gaming,3.6,4,8,6,16,2000,1200,2021,4294.0
Content Creation,3.8,8,16,6,32,2000,850,1940,20784.0
General Use,3.5,6,12,16,16,1000,850,1396,5156.0
Home Office,3.7,8,16,16,32,2000,750,2491,10357.0
Home Office,3.6,2,4,12,32,2000,700,2116,10356.0
General Use,3.8,8,16,6,64,2000,550,2127,10542.4
Gaming,3.7,6,12,6,32,500,700,1897,1395.5
